code,finish,cost_usd,category
BF09-PO,Houston Light Grey,248.0,BASE CABINETS
B18TR,Houston Light Grey,256.0,BASE CABINETS
BES12L,Houston Light Grey,187.0,BASE CABINETS
BES12R,Houston Light Grey,187.0,BASE CABINETS
BEC24,Houston Light Grey,225.0,BASE CABINETS
BMC30,Houston Light Grey,321.0,BASE CABINETS
BBC39/42,Houston Light Grey,359.0,BASE CABINETS
BBC42/45,Houston Light Grey,412.0,BASE CABINETS
LSB33,Houston Light Grey,509.0,BASE CABINETS
LSB36,Houston Light Grey,522.0,BASE CABINETS
BF0924,Houston Timber,133.0,BASE CABINETS
B12,Houston Timber,193.0,BASE CABINETS
B15,Houston Timber,210.0,BASE CABINETS
B18,Houston Timber,227.0,BASE CABINETS
B21,Houston Timber,242.0,BASE CABINETS
B24,Houston Timber,267.0,BASE CABINETS
B27,Houston Timber,285.0,BASE CABINETS
B30,Houston Timber,302.0,BASE CABINETS
B33,Houston Timber,318.0,BASE CABINETS
B36,Houston Timber,335.0,BASE CABINETS
B39,Houston Timber,415.0,BASE CABINETS
B42,Houston Timber,458.0,BASE CABINETS
DB12,Houston Timber,312.0,BASE CABINETS
DB15,Houston Timber,339.0,BASE CABINETS
DB18,Houston Timber,367.0,BASE CABINETS
DB21,Houston Timber,394.0,BASE CABINETS
DB24,Houston Timber,422.0,BASE CABINETS
DB27,Houston Timber,435.0,BASE CABINETS
DB30,Houston Timber,444.0,BASE CABINETS
DB33,Houston Timber,460.0,BASE CABINETS
DB36,Houston Timber,482.0,BASE CABINETS
DB24-2,Houston Timber,422.0,BASE CABINETS
DB30-2,Houston Timber,444.0,BASE CABINETS
BF09-PO,Houston Timber,248.0,BASE CABINETS
B18TR,Houston Timber,256.0,BASE CABINETS
BES12L,Houston Timber,187.0,BASE CABINETS
BES12R,Houston Timber,187.0,BASE CABINETS
BEC24,Houston Timber,225.0,BASE CABINETS
BMC30,Houston Timber,321.0,BASE CABINETS
BBC39/42,Houston Timber,359.0,BASE CABINETS
BBC42/45,Houston Timber,412.0,BASE CABINETS
LSB33,Houston Timber,509.0,BASE CABINETS
LSB36,Houston Timber,522.0,BASE CABINETS
BF0924,Dallas Ivory,145.0,BASE CABINETS
B12,Dallas Ivory,215.0,BASE CABINETS
B15,Dallas Ivory,233.0,BASE CABINETS
B18,Dallas Ivory,254.0,BASE CABINETS
B21,Dallas Ivory,270.0,BASE CABINETS
B24,Dallas Ivory,307.0,BASE CABINETS
B27,Dallas Ivory,327.0,BASE CABINETS
B30,Dallas Ivory,348.0,BASE CABINETS
B33,Dallas Ivory,366.0,BASE CABINETS
B36,Dallas Ivory,385.0,BASE CABINETS
B39,Dallas Ivory,450.0,BASE CABINETS
B42,Dallas Ivory,497.0,BASE CABINETS
DB12,Dallas Ivory,333.0,BASE CABINETS
DB15,Dallas Ivory,361.0,BASE CABINETS
DB18,Dallas Ivory,387.0,BASE CABINETS
DB21,Dallas Ivory,412.0,BASE CABINETS
DB24,Dallas Ivory,444.0,BASE CABINETS
DB27,Dallas Ivory,469.0,BASE CABINETS
DB30,Dallas Ivory,499.0,BASE CABINETS
DB33,Dallas Ivory,525.0,BASE CABINETS
DB36,Dallas Ivory,552.0,BASE CABINETS
DB24-2,Dallas Ivory,444.0,BASE CABINETS
DB30-2,Dallas Ivory,499.0,BASE CABINETS
BF09-PO,Dallas Ivory,255.0,BASE CABINETS
B18TR,Dallas Ivory,281.0,BASE CABINETS
BES12L,Dallas Ivory,191.0,BASE CABINETS
BES12R,Dallas Ivory,191.0,BASE CABINETS
BEC24,Dallas Ivory,258.0,BASE CABINETS
BMC30,Dallas Ivory,388.0,BASE CABINETS
BBC39/42,Dallas Ivory,365.0,BASE CABINETS
BBC42/45,Dallas Ivory,439.0,BASE CABINETS
LSB33,Dallas Ivory,515.0,BASE CABINETS
LSB36,Dallas Ivory,575.0,BASE CABINETS
BF0924,Trenton Swam White,145.0,BASE CABINETS
B12,Trenton Swam White,215.0,BASE CABINETS
B15,Trenton Swam White,233.0,BASE CABINETS
B18,Trenton Swam White,254.0,BASE CABINETS
B21,Trenton Swam White,270.0,BASE CABINETS
B24,Trenton Swam White,307.0,BASE CABINETS
B27,Trenton Swam White,327.0,BASE CABINETS
B30,Trenton Swam White,348.0,BASE CABINETS
B33,Trenton Swam White,366.0,BASE CABINETS
B36,Trenton Swam White,385.0,BASE CABINETS
B39,Trenton Swam White,450.0,BASE CABINETS
B42,Trenton Swam White,497.0,BASE CABINETS
